open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1733045760000,96950.30,96959.70,96935.60,96959.70,43.104,1733045939999,4178795.50500,1765,22.493,2180613.43850,0
1733045940000,96959.70,97050.00,96959.60,97049.90,161.617,1733046119999,15678502.15050,2661,135.029,13098965.93090,0
1733046120000,97050.00,97083.60,97049.90,97053.10,103.318,1733046299999,10028280.57510,2840,63.286,6142628.61780,0
1733046300000,97053.10,97061.70,97000.60,97005.30,77.059,1733046479999,7476824.83970,2151,20.527,1991482.16850,0
1733046480000,97005.30,97005.30,96975.60,96980.00,48.442,1733046659999,4698570.73280,1267,12.819,1243339.65600,0
1733046660000,96979.90,97002.30,96979.90,96993.60,41.981,1733046839999,4071737.17620,1130,28.806,2793844.84520,0
1733046840000,96993.70,97084.00,96993.70,97074.90,132.593,1733047019999,12867507.17340,2482,86.459,8389884.72710,0
1733047020000,97074.80,97094.20,97074.80,97087.00,82.584,1733047199999,8017833.80860,1523,54.305,5272281.17300,0
1733047200000,97087.00,97100.00,96992.90,97020.20,375.027,1733047379999,36399457.77240,4991,107.462,10431928.04880,0
1733047380000,97020.20,97035.10,96936.60,96936.60,214.271,1733047559999,20780679.52960,3386,40.607,3937752.36470,0
1733047560000,96936.60,96943.70,96920.60,96929.40,85.707,1733047739999,8307646.65390,1962,23.867,2313425.99070,0
1733047740000,96929.40,96947.60,96929.30,96935.50,97.427,1733047919999,9443901.27240,1569,47.762,4629649.96990,0
1733047920000,96935.60,96942.20,96911.30,96913.90,83.419,1733048099999,8085209.11980,1451,19.313,1871854.76660,0
1733048100000,96913.90,96914.00,96828.40,96834.30,287.472,1733048279999,27846676.85940,3759,47.651,4615235.24160,0
1733048280000,96834.20,96895.60,96834.20,96895.60,94.473,1733048459999,9151562.00540,1649,56.598,5482570.49080,0
1733048460000,96895.60,96928.90,96882.10,96920.00,149.093,1733048639999,14448185.72220,1962,79.515,7705102.41000,0
1733048640000,96920.00,96943.50,96908.00,96943.00,77.668,1733048819999,7528172.15710,1697,54.155,5249154.53370,0
1733048820000,96943.00,96943.00,96912.50,96934.10,39.418,1733048999999,3820546.68450,1376,14.743,1428926.45000,0
1733049000000,96934.10,96945.90,96850.80,96854.80,83.528,1733049179999,8094671.61130,2616,24.635,2387435.55740,0
1733049180000,96854.80,96869.30,96711.10,96741.40,508.562,1733049359999,49214268.97550,7078,169.713,16421306.63950,0
1733049360000,96741.50,96786.50,96676.30,96694.40,366.878,1733049539999,35486016.55750,5129,138.470,13393807.64810,0
1733049540000,96694.50,96716.00,96585.10,96715.90,775.160,1733049719999,74927319.92170,8313,428.313,41404220.13150,0
1733049720000,96716.00,96846.00,96715.90,96820.40,205.845,1733049899999,19924607.62450,3223,148.742,14396957.09570,0
1733049900000,96820.40,96885.20,96809.80,96871.70,108.574,1733050079999,10516470.51540,2929,69.443,6726262.12630,0
1733050080000,96871.70,96900.00,96824.20,96856.90,125.790,1733050259999,12183474.67020,2873,71.179,6893764.68440,0
1733050260000,96856.90,96900.00,96849.80,96858.20,75.522,1733050439999,7316555.01080,2051,41.694,4039279.13290,0
1733050440000,96858.20,96887.00,96834.90,96880.70,125.758,1733050619999,12180567.19640,2113,88.628,8584215.77940,0
1733050620000,96880.60,96895.50,96810.40,96867.60,191.821,1733050799999,18576717.64160,3081,54.276,5255447.82620,0
1733050800000,96867.70,96981.50,96867.60,96981.40,138.963,1733050979999,13470551.99400,2906,109.638,10627970.82090,0
1733050980000,96981.40,97020.80,96972.00,97008.70,203.291,1733051159999,19718775.76590,2958,156.949,15224024.81860,0
1733051160000,97008.70,97008.70,96952.00,96993.40,105.957,1733051339999,10275385.96330,2554,28.038,2719016.57960,0
1733051340000,96993.40,97029.30,96984.60,97029.30,139.872,1733051519999,13567713.22810,1941,98.386,9543441.30680,0
1733051520000,97029.30,97039.30,97020.00,97027.10,131.144,1733051699999,12724983.83330,2087,42.794,4152278.36330,0
1733051700000,97027.10,97037.90,96993.40,97004.50,122.193,1733051879999,11854641.93410,2337,41.431,4019528.33960,0
1733051880000,97004.50,97023.60,96997.60,97007.30,57.589,1733052059999,5586853.94440,1760,33.149,3215854.12760,0
1733052060000,97007.30,97007.40,96986.70,96993.80,58.157,1733052239999,5640871.41590,1748,13.596,1318717.68320,0
1733052240000,96993.70,97000.00,96961.30,97000.00,81.635,1733052419999,7916953.32330,2010,39.497,3830345.63160,0
1733052420000,97000.00,97040.00,96991.20,97040.00,91.494,1733052599999,8876770.86870,2073,71.913,6977170.63800,0
1733052600000,97040.00,97091.70,97039.90,97087.50,226.200,1733052779999,21956833.20430,3193,177.793,17257926.15570,0
1733052780000,97087.50,97087.60,97042.30,97049.90,82.540,1733052959999,8011498.15670,2070,34.566,3354999.42680,0
1733052960000,97049.90,97146.70,97040.00,97080.20,588.642,1733053139999,57157129.75090,6276,419.801,40761978.69050,0
